2.05	14.65	3.01	11.25	9.81	7.93	2	2
2.44	14.46	4.75	12.36	10.52	8.05	2	3
2.22	15.05	2.9	11.03	10.3	5.9	2	4
2.17	13.83	2.77	13.04	9.78	6.7	2	5
1.7	13.88	3.18	10.64	7.75	5.35	2	6
2.69	15.62	2	10.54	9.46	6.57	2	7
2.85	15.81	3.69	12.36	13.96	12.52	3	8
2.52	10.81	2.7	15.23	9.83	8.66	3	9
2.39	14.88	4.03	13.99	9.15	7.04	3	10
2.23	13.68	2.88	12.37	11.45	9.37	3	11
2.54	13.82	2.72	14.08	11.54	9.16	3	12
2.46	13.59	1.77	12.68	10.47	7.96	3	13
2.05	12.7	2.87	11.34	13.39	8.22	3	14
2.96	13.29	3.86	12.63	11.33	11.14	3	15
2.19	12.55	5.09	13.61	9.13	6.82	4	16
1.86	14.04	2.69	13.36	10.96	9.69	4	17
4.13	12.24	2.77	13.29	12.94	9.28	4	18
3.11	16.19	3.2	11.44	13.5	9.75	4	19
2.24	13.62	2.9	12.09	15.11	8.21	4	20
1.93	15.19	3.92	9.34	14.31	11.04	4	21
3.74	17.49	3.74	12.77	12.04	9.6	4	22
3.58	14.55	3.36	12.65	12.21	12.55	4	23
3.2	15.87	3.79	13.5	11.25	9.44	4	24
3.25	16.55	3.53	12.2	16.89	12.39	4	25
3.36	12.97	1.84	10.33	7.77	7.39	5	26
2.45	11.62	3.09	12.43	10.1	6.14	5	27
2.79	8.13	3.03	13.32	11.96	7.33	5	28
3.03	11.68	4.69	11.82	9.73	7.19	5	29
2.96	10.99	2.12	11.21	12.27	8.15	5	30
3.77	10.63	3.77	13.79	10.27	6.38	5	31
4.67	11.16	1.75	12.91	10.07	7.66	5	32
1.8	13.1	2.29	12.07	7.98	7.47	5	33
2.63	10.22	2.67	12.72	10.6	7.44	5	34
2.48	11.21	3.08	12.03	9.23	5.54	5	35
2.91	13.54	2.73	15.22	12.38	6.83	5	36
1.25	12.5	3.59	11.56	7.5	3.23	6	37
1.6	9.77	2.19	13.41	11.95	4.23	6	38
2.48	12.1	3.35	13.39	8.21	3.97	6	39
3.04	14.16	3.96	12.18	12.33	6.08	6	40
3.25	14.94	1.95	15.58	10.61	6.51	6	41
1.41	10.83	2.83	14.44	11.15	4.62	6	42
1.95	13.32	2.13	13.85	10.3	4.33	6	43
1.78	11.09	2.72	14.44	11.4	4.71	6	44
2.04	12.02	4.54	13.38	10.2	4.64	6	45
2.7	12.46	3.32	10.38	9.35	4.38	6	46
1.74	13.9	3.95	15.17	10.11	5.15	6	47
2.83	11.3	3.48	11.09	10.22	4.22	6	48
3.51	13.2	2.45	13.37	10.7	7.01	7	49
2.33	12.58	3.68	13.18	11.12	6.92	7	50
2.76	12.18	1.95	13.6	10.35	9.37	7	51
2.26	12.39	2	14.1	11.05	9.39	7	52
2.45	14.79	3.42	13.92	11.68	7.11	7	53
2.48	12.38	2.12	15.47	9.15	9.92	7	54
1.86	10.7	3.01	12.13	10.46	8.12	7	55
2.7	12.15	3.46	13.49	10.16	9.36	7	56
3.56	12.89	3.48	14.33	11.17	8.89	7	57
